actor_a,actor_b,weight,shared
MoonRendering,justfalter,2,2
MoonRendering,mbleigh,1,1
MoonRendering,sfitts,1,1
MoonRendering,vladkol,1,1
MrChengmo,abdibrokhim,1,1
MrChengmo,ajaynagotha,1,1
MrChengmo,bkowal,1,1
MrChengmo,bparees,1,1
MrChengmo,hamidra,1,1
MrChengmo,justfalter,1,1
MrChengmo,mbleigh,1,1
MrChengmo,sfitts,1,1
MrChengmo,vladkol,1,1
OyaAIProd,dayuyang1999,1,1
OyaAIProd,liar666,1,1
OyaAIProd,lrosenthol,1,1
Paulchen5,abdibrokhim,1,1
Paulchen5,ajaynagotha,1,2
Paulchen5,bkowal,1,1
Paulchen5,bparees,1,1
Paulchen5,hamidra,1,1
Paulchen5,ishymko,1,2
Paulchen5,justfalter,2,2
Paulchen5,mbleigh,1,1
Paulchen5,sfitts,1,1
Paulchen5,vladkol,1,1
Phil-Hills,ZapzCsgo,1,2
Phil-Hills,abdibrokhim,1,1
Phil-Hills,ajaynagotha,1,1
Phil-Hills,bkowal,1,1
Phil-Hills,bparees,1,2
Phil-Hills,hamidra,1,1
Phil-Hills,justfalter,1,2
Phil-Hills,mbleigh,1,1
Phil-Hills,muscariello,1,3
Phil-Hills,pwwpche,1,2
Phil-Hills,sfitts,2,2
Phil-Hills,vladkol,1,1
Phil-Hills,xtrasmal,1,1
Phil-Hills,yarolegovich,1,3
PierreVannier,dayuyang1999,1,1
PierreVannier,liar666,1,1
PierreVannier,lrosenthol,1,1
PoolDad-Legal,ZapzCsgo,1,1
PoolDad-Legal,muscariello,1,1
PoolDad-Legal,pwwpche,1,1
PoolDad-Legal,sfitts,1,1
PoolDad-Legal,xtrasmal,1,1
Pray4Love1,yarolegovich,1,1
QuantumDaveLdn,dayuyang1999,1,1
QuantumDaveLdn,liar666,1,1
