author,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12
kdenhartog,0,0,0,1,0,1,0,1,0,0,0,0
kedoska,0,0,0,0,0,1,0,0,0,0,0,0
keenranger,0,1,0,0,0,0,0,0,0,0,0,0
kenhuangus,0,0,1,0,0,0,0,0,0,0,0,0
kibitzing,0,1,0,0,0,0,0,0,0,0,0,0
kimehdgns,1,0,0,0,0,0,0,0,0,0,0,0
kimsr96,0,0,0,0,1,0,0,0,0,0,0,0
kirmorozov,0,0,0,0,0,0,0,1,0,0,0,0
kkgupta-github,0,1,0,0,0,0,0,0,0,0,0,0
knuckles-stack,0,0,0,2,0,0,0,0,0,0,0,0
koteswaran2186,0,0,0,0,0,0,0,1,0,0,0,0
koverholt,0,13,0,0,0,0,0,0,0,0,0,0
koyeliaghosh,0,0,0,0,0,0,0,1,0,0,0,0
kpavlov,0,0,1,0,0,0,0,0,0,0,0,0
krebznet,0,0,1,0,0,0,0,0,0,0,0,0
kshitizz36,0,1,0,0,0,2,0,0,0,0,0,0
kthota-g,7,48,12,12,1,15,7,7,9,2,0,2
kubni,0,1,0,0,0,0,0,0,0,0,0,0
kukuyuhai,0,0,0,0,0,0,0,0,0,0,1,0
kuldeepjain-bitcot,0,0,0,0,0,1,0,0,0,0,0,0
kurt-r2c,0,0,0,1,0,1,0,0,0,0,0,0
kyleacmooney,0,2,0,0,0,0,0,0,0,0,0,0
lahlfors,1,0,0,0,0,0,0,0,0,0,0,0
lalrow,0,1,1,0,0,0,0,0,0,0,0,0
lambochen,0,1,0,0,0,1,0,0,0,0,0,0
laurentsimon,0,1,2,2,0,0,0,3,0,0,0,0
leavez,0,0,0,0,0,1,0,0,0,0,0,0
lerhaupt,0,0,1,0,0,0,0,0,0,0,0,0
lexi-k,1,0,0,0,0,1,0,0,0,0,0,0
liar666,0,0,1,0,0,0,0,0,0,0,1,0
lifieai,0,0,3,0,0,0,0,0,0,0,0,0
lindsaydsgdnolan-eng,0,2,0,0,0,0,0,0,0,0,0,0
liuming-dev,0,0,1,0,0,0,0,0,0,0,0,0
liuzengh,1,2,0,0,0,0,0,0,0,0,0,0
lj-raidiam,0,0,0,1,0,0,0,0,0,0,0,0
lkawka,1,2,0,0,0,3,0,0,3,1,0,0
logan-markewich,0,2,1,1,0,1,0,0,0,0,1,0
logan272,0,0,4,0,1,4,0,1,1,0,0,0
loganaden,0,0,0,2,0,0,0,0,0,0,0,0
loganwolfe-ims,0,0,0,0,0,0,0,1,0,0,0,0
lorenzocipriani-huawei,2,0,1,0,0,0,0,1,0,0,0,0
lrosenthol,0,0,2,0,0,0,0,0,0,0,0,0
lucamontin,0,0,0,0,0,0,1,0,0,0,0,0
lukaszkostrzewa,0,0,2,0,0,0,0,0,0,0,0,0
lukehinds,1,7,10,1,0,3,1,8,0,0,1,0
luyiourwong,0,0,1,0,0,0,0,0,0,0,0,0
madankumarpichamuthu,2,10,1,2,0,3,0,0,3,1,0,0
maeste,1,15,1,6,0,4,0,3,0,0,1,0
mahghappy,0,0,0,1,0,0,0,0,0,0,0,0
mandle420,0,1,0,0,0,0,0,0,0,0,0,0
manja316,0,0,0,0,0,0,0,1,0,0,0,0
manojk0303,0,0,1,0,0,0,1,0,0,0,0,0
manojsharmadcx,2,0,0,0,0,0,0,0,0,0,0,0
marelab,0,0,0,1,0,0,0,0,0,0,0,0
marianogonzalez,0,1,0,0,0,0,0,0,1,0,0,0
marketmaker4enterprise,0,0,1,0,0,0,0,0,0,0,0,0
markgoho,0,0,0,0,0,1,1,0,0,0,0,0
marksal87,0,0,0,0,0,0,0,0,1,0,0,0
martimfasantos,0,1,0,0,0,0,0,0,0,0,0,0
